message,label
normal	Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola
normal	What will we do in the shower, baby?
normal	Well i am definitely need to restock before thanksgiving, I'll let you know when I'm out
normal	Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about you?
fraud	hello sir, i am from jio customer care in 23 hours your sim will be closed. do u want to activate it.
fraud	hello sir, i am from airtel customer care in 23 hours your sim will be closed. do u want to activate it.
fraud	hello sir, i am from idea customer care in 23 hours your sim will be closed. do u want to activate it.
fraud	hello sir, i am from vodafone customer care in 23 hours your sim will be closed. do u want to activate it.
fraud	hello sir, i am from bsnl customer care in 23 hours your sim will be closed. do u want to activate it.
fraud	hello sir, i am from mtnl customer care in 23 hours your sim will be closed. do u want to activate it.
fraud	hello sir, i am from jio customer care in 23 hours your sim will be deactivate. do u want to activate it.
fraud	hello sir, i am from airtel customer care in 23 hours your sim will be deactivate. do u want to activate it.
fraud	hello sir, i am from idea customer care in 23 hours your sim will be deactivate. do u want to activate it.
fraud	hello sir, i am from vodafone customer care in 23 hours your sim will be deactivate. do u want to activate it.
fraud	hello sir, i am from bsnl customer care in 23 hours your sim will be deactivate. do u want to activate it.
fraud	hello sir, tell me your credit/debit card mobile number and aadhar card.
fraud	hello sir, i am from bank please tell me your card cvv number for your bank verification.
fraud	hello sir, i am from paytm there are offer in paytm upgrade your account so you can enjoy better cashback offrs.
fraud	you won a lucky draw for shopping on an amazon, provide your bank details for deposit your amount towards logistics charge.
fraud	you won a lucky draw for shopping on an flipkard, provide your bank details for deposit your amount towards logistics charge.
fraud	you won a lucky draw for shopping on an myntra, provide your bank details for deposit your amount towards logistics charge.
fraud	hello sir we are from covid-19 health care center, for vaccination call 7845963214
normal	hii,
normal	hello,
fraud	hello sir, to get a 500 INR voucher for play rummy go to this link http://xyz.abc
normal	Ok, i'm watching here.
normal	I‘m going to try for 2 months,ha ha only joking.
normal	I'm back &amp; we're packing the car now, I'll let you know if there's room.
normal	Sorry, I'll call later in meeting.
normal	Sorry my roommates took forever, it's ok if I come by now?
normal	ok, where are you? how did you performed?
normal	Sorry, I'll call later.
normal	wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nice, something changed. Cuz on my signin page it still says boston.
normal	All right, I'll hit you up when I get some cash
normal	Hmm, my uncle just informed me that he's paying the school directly. So please buy food.
normal	Good stuff, will do.
normal	ok, how much does it cost?
normal	Dear, will call Tomorrow. please accomodate.
normal	OK, text me when you're on the way
normal	Sir, Waiting for your mail.
normal	Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?
normal	Hi friend, which is best way to avoid missunderstding with our beloved one's?
fraud	Sir, I need AXIS BANK account number and bank address.
normal	Hmmm.. Thanks sure got time to hope ard... Ya, can go for free about... Muz call you to discuss liao... 
normal	Well, i'm gonna finish my bath now. Have a good...fine night.
normal	Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth
normal	He will, you guys close?
normal	Haha awesome, be there in a minute
normal	As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.
normal	Aight yo, dats straight dogg
normal	Both, i shoot big loads so get ready!
normal	What's up bruv, hope you had a great break. Do have a rewarding semester.
